experiment_id,experiment_name,game_scenario,player1,player2,p_value_path,p_start,p_end,p_value_change,total_rounds,overall_cooperation_rate,player1_cooperation_rate,player2_cooperation_rate,player1_avg_score,player2_avg_score,strategy_changes,completed
1,deepseek_vs_chatgpt_up,PD,deepseek,gpt,up,0.5,0.9,-0.4,7,1.0,1.0,1.0,8.0,8.0,0,True
2,deepseek_vs_chatgpt_down,PD,deepseek,gpt,down,0.9,0.1,0.8,23,1.0,1.0,1.0,8.0,8.0,0,True
3,deepseek_vs_chatgpt_random,PD,deepseek,gpt,random,0.5,0.05,0.45,7,1.0,1.0,1.0,8.0,8.0,0,True
5,deepseek_vs_kimi_down,PD,deepseek,kimi,down,0.9,0.1,0.8,23,1.0,1.0,1.0,8.0,8.0,0,True
6,deepseek_vs_kimi_random,PD,deepseek,kimi,random,0.5,0.05,0.45,7,1.0,1.0,1.0,8.0,8.0,0,True
7,chatgpt_vs_kimi_up,PD,gpt,kimi,up,0.5,0.9,-0.4,7,1.0,1.0,1.0,8.0,8.0,0,True
8,chatgpt_vs_kimi_down,PD,gpt,kimi,down,0.9,0.1,0.8,23,1.0,1.0,1.0,8.0,8.0,0,True
9,chatgpt_vs_kimi_random,PD,gpt,kimi,random,0.5,0.05,0.45,7,0.8571428571428571,0.8571428571428571,1.0,8.285714285714286,6.857142857142857,1,True
10,bos_deepseek_vs_chatgpt_up,BOS,deepseek,gpt,up,0.5,0.9,-0.4,7,1.0,1.0,1.0,10.0,7.0,0,True
11,bos_deepseek_vs_chatgpt_down,BOS,deepseek,gpt,down,0.9,0.1,0.8,1,1.0,1.0,1.0,10.0,7.0,0,True
12,bos_deepseek_vs_chatgpt_random,BOS,deepseek,gpt,random,0.5,0.05,0.45,7,1.0,1.0,1.0,10.0,7.0,0,True
13,bos_deepseek_vs_kimi_up,BOS,deepseek,kimi,up,0.5,0.9,-0.4,7,1.0,1.0,1.0,10.0,7.0,0,True
14,bos_deepseek_vs_kimi_down,BOS,deepseek,kimi,down,0.9,0.1,0.8,23,1.0,1.0,1.0,10.0,7.0,0,True
15,bos_deepseek_vs_kimi_random,BOS,deepseek,kimi,random,0.5,0.05,0.45,7,1.0,1.0,1.0,10.0,7.0,0,True
16,bos_chatgpt_vs_kimi_up,BOS,gpt,kimi,up,0.5,0.9,-0.4,7,1.0,1.0,1.0,10.0,7.0,0,True
17,bos_chatgpt_vs_kimi_down,BOS,gpt,kimi,down,0.9,0.1,0.8,23,1.0,1.0,1.0,10.0,7.0,0,True
18,bos_chatgpt_vs_kimi_random,BOS,gpt,kimi,random,0.5,0.05,0.45,7,1.0,1.0,1.0,10.0,7.0,0,True
